source,destination,status,purpose
/about-doctor,https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/articles,https://drkrishnadas.netlify.app/blog,301,Preserve legacy URL equity; no redirect chain
/best-psychiatrist-in-vijayawada,https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,301,Preserve legacy URL equity; no redirect chain
/clinic,https://drkrishnadas.netlify.app/clinic-vijayawada,301,Preserve legacy URL equity; no redirect chain
/doctor,https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/doctor/dr-pamarthi-krishna-das,https://drkrishnadas.netlify.app/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/faqs,https://drkrishnadas.netlify.app/faq,301,Preserve legacy URL equity; no redirect chain
/psychiatrist-vijayawada,https://drkrishnadas.netlify.app/psychiatrist-in-vijayawada,301,Preserve legacy URL equity; no redirect chain
/te/about-doctor,https://drkrishnadas.netlify.app/te/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/te/articles,https://drkrishnadas.netlify.app/te/blog,301,Preserve legacy URL equity; no redirect chain
/te/best-psychiatrist-in-vijayawada,https://drkrishnadas.netlify.app/te/psychiatrist-in-vijayawada,301,Preserve legacy URL equity; no redirect chain
/te/clinic,https://drkrishnadas.netlify.app/te/clinic-vijayawada,301,Preserve legacy URL equity; no redirect chain
/te/doctor,https://drkrishnadas.netlify.app/te/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/te/doctor/dr-pamarthi-krishna-das,https://drkrishnadas.netlify.app/te/doctor/pamarthi-krishna-das,301,Preserve legacy URL equity; no redirect chain
/te/faqs,https://drkrishnadas.netlify.app/te/faq,301,Preserve legacy URL equity; no redirect chain
/te/psychiatrist-vijayawada,https://drkrishnadas.netlify.app/te/psychiatrist-in-vijayawada,301,Preserve legacy URL equity; no redirect chain
/te/testimonials,https://drkrishnadas.netlify.app/te/about,301,Preserve legacy URL equity; no redirect chain
/testimonials,https://drkrishnadas.netlify.app/about,301,Preserve legacy URL equity; no redirect chain
